,Brent,Advanced,Petro Rabigh,SABIC,Saudi Chemical,Saudi_Kayan,Sipchem,Tasnee,Yansab
Brent,1.0,0.13171786404158528,0.2401844751385172,0.2606932314299613,0.07079635499869101,0.21820161743539798,0.21765119680497724,0.23349584630207837,0.23854141362460124
Advanced,0.13171786404158528,1.0,0.2999832929741166,0.5131929682496369,0.25294809265796075,0.45609791423475665,0.5047164411302553,0.49969128645547767,0.511089931717552
Petro Rabigh,0.2401844751385172,0.2999832929741166,1.0,0.5004392373246298,0.23086497002593875,0.5834501582356763,0.46631416512748486,0.5357809765764154,0.49238170933180947
SABIC,0.2606932314299613,0.5131929682496369,0.5004392373246298,1.0,0.2682725397616109,0.5985187305798365,0.5904330342085207,0.6220320833597341,0.6378247045739986
Saudi Chemical,0.07079635499869101,0.25294809265796075,0.23086497002593875,0.2682725397616109,1.0,0.2773998695091146,0.280012059245609,0.3365044039117582,0.24068587490977603
Saudi_Kayan,0.21820161743539798,0.45609791423475665,0.5834501582356763,0.5985187305798365,0.2773998695091146,1.0,0.582185128343858,0.6786824979311079,0.5650689445298545
Sipchem,0.21765119680497724,0.5047164411302553,0.46631416512748486,0.5904330342085207,0.280012059245609,0.582185128343858,1.0,0.6365844885198869,0.5521486251666996
Tasnee,0.23349584630207837,0.49969128645547767,0.5357809765764154,0.6220320833597341,0.3365044039117582,0.6786824979311079,0.6365844885198869,1.0,0.5276890552336274
Yansab,0.23854141362460124,0.511089931717552,0.49238170933180947,0.6378247045739986,0.24068587490977603,0.5650689445298545,0.5521486251666996,0.5276890552336274,1.0
