,count,mean,std,min,25%,50%,75%,max
Brent,1254.0,75.30985645933013,20.598635245127817,9.12,65.96,75.745,85.745,138.21
Advanced,1254.0,43.85359078731263,11.760403819676126,22.0,35.91666412353516,41.66666603088379,51.66666412353516,74.19999694824219
Petro Rabigh,1254.0,11.242278668678928,3.92957409051562,6.460000038146973,8.140000343322754,10.15999984741211,14.279999732971191,23.74510383605957
SABIC,1254.0,86.64601276707991,22.095174632769865,49.7400016784668,69.0,85.5,100.0,139.0
Saudi Chemical,1254.0,5.240811807402013,2.753424316412086,1.9600000381469729,3.151250064373017,3.9524999856948853,7.400000095367432,12.0600004196167
Saudi_Kayan,1254.0,11.184728887472806,4.756020336646633,4.5,7.102499961853027,10.699999809265137,14.404999971389769,23.84000015258789
Sipchem,1254.0,28.351778326232278,11.48286559238501,11.220000267028809,17.93000030517578,28.125000000000004,36.437500953674316,58.400001525878906
Tasnee,1254.0,13.468357229156737,4.102026792001572,8.210000038146973,10.422500133514403,12.190000057220459,14.920000076293944,26.0
Yansab,1254.0,47.268309396990176,13.69276651088521,24.450000762939453,37.36249923706054,42.79999923706055,58.47500038146973,84.9000015258789
