,Brent,Advanced,Petro Rabigh,SABIC,Saudi Chemical,Saudi_Kayan,Sipchem,Tasnee,Yansab
Brent,1.0,0.1231303269764589,0.39914570890201984,0.17577026771223642,0.1589206210998156,0.3084053585705134,0.7187158179081101,0.3392972939019052,-0.031330558225991435
Advanced,0.1231303269764589,1.0,0.7271649741852643,0.9709524494720905,-0.5298819045535095,0.9352511339146184,0.5672126671160661,0.911995609805616,0.9233846827563559
Petro Rabigh,0.39914570890201984,0.7271649741852643,1.0,0.7983032557927321,-0.5168622960800283,0.8347688947753099,0.5752414781048779,0.790015552594527,0.7432773374188193
SABIC,0.17577026771223642,0.9709524494720905,0.7983032557927321,1.0,-0.5613746261827955,0.9640159572057032,0.5879348848268482,0.9135501158053568,0.9408928568533986
Saudi Chemical,0.1589206210998156,-0.5298819045535095,-0.5168622960800283,-0.5613746261827955,1.0,-0.5071411193612688,-0.12059847563156667,-0.36842638588608995,-0.5851465944937311
Saudi_Kayan,0.3084053585705134,0.9352511339146184,0.8347688947753099,0.9640159572057032,-0.5071411193612688,1.0,0.7062265925516229,0.9426426914292446,0.8778097978935061
Sipchem,0.7187158179081101,0.5672126671160661,0.5752414781048779,0.5879348848268482,-0.12059847563156667,0.7062265925516229,1.0,0.7244874706617892,0.3723784470634696
Tasnee,0.3392972939019052,0.911995609805616,0.790015552594527,0.9135501158053568,-0.36842638588608995,0.9426426914292446,0.7244874706617892,1.0,0.8173163324864485
Yansab,-0.031330558225991435,0.9233846827563559,0.7432773374188193,0.9408928568533986,-0.5851465944937311,0.8778097978935061,0.3723784470634696,0.8173163324864485,1.0
