,Brent,Advanced,Petro Rabigh,SABIC,Saudi Chemical,Saudi_Kayan,Sipchem,Tasnee,Yansab
Brent,1.0,0.12543650976231674,0.44904894945395674,0.18530034027798978,0.16724950416273193,0.3087269298499745,0.6897893567695345,0.3498665279950639,-0.046690225233204125
Advanced,0.12543650976231674,1.0,0.7436983498786949,0.9701441019203298,-0.5684136963698557,0.9396351405894001,0.5865848500350349,0.8919459474850232,0.9215907159725067
Petro Rabigh,0.44904894945395674,0.7436983498786949,1.0,0.8064737031975543,-0.5024991840584189,0.8387056758385719,0.6657447425712439,0.8572542278558037,0.7145902550215598
SABIC,0.18530034027798978,0.9701441019203298,0.8064737031975543,1.0,-0.5877649249519186,0.9689972697269789,0.6276710895141273,0.9184837158158982,0.9348353874599453
Saudi Chemical,0.16724950416273193,-0.5684136963698557,-0.5024991840584189,-0.5877649249519186,1.0,-0.5853634625232611,-0.26234640941168286,-0.4237314987529517,-0.5650447017148942
Saudi_Kayan,0.3087269298499745,0.9396351405894001,0.8387056758385719,0.9689972697269789,-0.5853634625232611,1.0,0.7303604447389893,0.9326996124757335,0.865108721187929
Sipchem,0.6897893567695345,0.5865848500350349,0.6657447425712439,0.6276710895141273,-0.26234640941168286,0.7303604447389893,1.0,0.70988409245534,0.35799411400475245
Tasnee,0.3498665279950639,0.8919459474850232,0.8572542278558037,0.9184837158158982,-0.4237314987529517,0.9326996124757335,0.70988409245534,1.0,0.8311444239521107
Yansab,-0.046690225233204125,0.9215907159725067,0.7145902550215598,0.9348353874599453,-0.5650447017148942,0.865108721187929,0.35799411400475245,0.8311444239521107,1.0
